Accumulator Distribution,1135914.384
1 Day % price movement,0.000
7 Day % price movement,-20.080
14 Day % price movement,-20.510
30 Day % price movement,-45.030
60 Day % price movement,-131.190
90 Day % price movement,-122.610
7 Day Simple Moving Average,636.701
14 Day Simple Moving Average,630.264
30 Day Simple Moving Average,614.481
60 Day Simple Moving Average,599.201
90 Day Simple Moving Average,575.786
180 Day Simple Moving Average,556.548
1 Day % Rate of change,0.000
7 Day % Rate of change,3.109
14 Day % Rate of change,3.175
30 Day % Rate of change,6.972
60 Day % Rate of change,20.311
90 Day % Rate of change,18.983
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,6240.006
7 day force index,20083.907
14 day force index,28320.715
30 day force index,35993.695
60 day force index,51727.425
90 day force index,58807.604
