Accumulator Distribution,-2397561.075
1 Day % price movement,0.000
7 Day % price movement,-1.070
14 Day % price movement,0.830
30 Day % price movement,0.310
60 Day % price movement,-5.560
90 Day % price movement,-14.290
7 Day Simple Moving Average,49.454
14 Day Simple Moving Average,49.001
30 Day Simple Moving Average,48.873
60 Day Simple Moving Average,48.781
90 Day Simple Moving Average,45.740
180 Day Simple Moving Average,44.467
1 Day % Rate of change,0.000
7 Day % Rate of change,2.174
14 Day % Rate of change,-1.687
30 Day % Rate of change,-0.630
60 Day % Rate of change,11.299
90 Day % Rate of change,29.039
Aroon up 25,0.000
Aroon down 25,0.000
1 day force index,-540.988
7 day force index,-86.066
14 day force index,-811.482
30 day force index,-1383.208
60 day force index,-396.520
90 day force index,745.396
