Gross Margin % 2009,31.4
Gross Margin % 2010,30.7
Gross Margin % YoY % change,-2.229
Operating Margin % 2009,12.6
Operating Margin % 2010,12.7
Operating Margin % YoY % change,0.794
Earnings Per Share USD 2009,2.66
Earnings Per Share USD 2010,3.40
Earnings Per Share USD YoY % change,27.820
Book Value Per Share USD 2009,4.11
Book Value Per Share USD 2010,5.62
Book Value Per Share USD YoY % change,36.740
SG&A 2009,18.73
SG&A 2010,17.97
SG&A YoY % change,-4.058
Return on Assets % 2009,14.19
Return on Assets % 2010,15.95
Return on Assets % YoY % change,12.403
Return on Equity % 2009,62.24
Return on Equity % 2010,67.84
Return on Equity % YoY % change,8.997
Return on Invested Capital % 2009,61.85
Return on Invested Capital % 2010,67.46
Return on Invested Capital % YoY % change,9.070
Cap Ex as a % of Sales 2009,1.03
Cap Ex as a % of Sales 2010,1.48
Cap Ex as a % of Sales YoY % change,43.689
Total Current Assets 2009,74.51
Total Current Assets 2010,72.92
Total Current Assets YoY % change,-2.134
Total Current Liabilities 2009,51.17
Total Current Liabilities 2010,50.26
Total Current Liabilities YoY % change,-1.778
Current Ratio 2009,1.46
Current Ratio 2010,1.45
Current Ratio YoY % change,-0.685
Quick Ratio 2009,1.29
Quick Ratio 2010,1.31
Quick Ratio YoY % change,1.550
